device,hive number,date,hive temp,hive humidity,hive pressure,weather temp,weather humidity,weather pressure,wind speed,gust speed,weatherID,cloud coverage,rain,lat,long,file name,queen presence,queen acceptance,frames,target,time,queen status
1,5,2022-06-08 14:52:28,36.42,30.29,1007.45,26.68,52,1013,8.75,,711,75,0,37.29,-121.95,2022-06-08--14-52-28_1.raw,1,2,8,0,0.583,0
1,5,2022-06-08 15:51:41,33.56,33.98,1006.93,25.99,53,1012,10.29,,803,75,0,37.29,-121.95,2022-06-08--15-51-41_1.raw,1,2,8,0,0.625,0
1,5,2022-06-08 17:21:53,29.01,42.73,1006.68,24.49,56,1012,8.75,,803,75,0,37.29,-121.95,2022-06-08--17-21-53_1.raw,0,0,8,1,0.708,1
1,5,2022-06-08 18:20:59,30.51,36.74,1006.68,22.97,59,1012,8.23,10.29,803,75,0,37.29,-121.95,2022-06-08--18-20-59_1.raw,0,0,8,1,0.75,1
1,5,2022-06-08 19:20:04,30.32,35.55,1006.58,21.52,61,1012,7.2,,803,75,0,37.29,-121.95,2022-06-08--19-20-04_1.raw,0,0,8,1,0.792,1
1,5,2022-06-08 20:19:13,29.29,36.34,1006.62,19.44,64,1013,6.69,,803,75,0,37.29,-121.95,2022-06-08--20-19-13_1.raw,0,0,8,1,0.833,1
1,5,2022-06-08 21:18:22,25.02,45.67,1007.11,17.02,73,1013,4.12,7.2,802,40,0,37.29,-121.95,2022-06-08--21-18-22_1.raw,0,0,8,1,0.875,1
1,5,2022-06-08 22:17:32,23.89,46.37,1007.54,15.93,78,1013,4.12,,801,20,0,37.29,-121.95,2022-06-08--22-17-32_1.raw,0,0,8,1,0.917,1
1,5,2022-06-08 23:16:44,22.86,48.23,1007.45,15.33,79,1013,4.63,,801,20,0,37.29,-121.95,2022-06-08--23-16-44_1.raw,0,0,8,1,0.958,1
1,5,2022-06-09 0:15:56,22.51,49.07,1007.58,14.58,82,1013,5.14,,801,20,0,37.29,-121.95,2022-06-09--00-15-56_1.raw,0,0,8,1,0,1
1,5,2022-06-09 1:15:08,22.21,48.16,1007.57,13.82,81,1013,3.09,,800,0,0,37.29,-121.95,2022-06-09--01-15-08_1.raw,0,0,8,1,0.042,1
1,5,2022-06-09 2:14:24,22.11,48.18,1006.91,13.54,84,1013,2.06,,800,0,0,37.29,-121.95,2022-06-09--02-14-24_1.raw,0,0,8,1,0.083,1
1,5,2022-06-09 3:13:35,22.04,47.06,1006.68,12.92,86,1013,0.45,0.89,800,0,0,37.29,-121.95,2022-06-09--03-13-35_1.raw,0,0,8,1,0.125,1
1,5,2022-06-09 4:12:49,21.56,46.82,1006.82,12.45,87,1012,0.45,0.89,800,0,0,37.29,-121.95,2022-06-09--04-12-49_1.raw,0,0,8,1,0.167,1
1,5,2022-06-09 5:12:03,21.32,47.32,1007.3,12.12,88,1013,2.06,,800,0,0,37.29,-121.95,2022-06-09--05-12-03_1.raw,0,0,8,1,0.208,1
1,5,2022-06-09 6:11:16,22.72,45.41,1007.42,11.95,87,1013,1.54,,802,40,0,37.29,-121.95,2022-06-09--06-11-16_1.raw,0,0,8,1,0.25,1
1,5,2022-06-09 7:10:32,23.76,57.41,1007.35,13.28,85,1013,0.89,1.79,803,75,0,37.29,-121.95,2022-06-09--07-10-32_1.raw,0,0,8,1,0.292,1
1,5,2022-06-09 8:09:59,26.04,48.01,1006.95,15.54,80,1012,1.54,,803,75,0,37.29,-121.95,2022-06-09--08-09-59_1.raw,0,0,8,1,0.333,1
1,5,2022-06-09 9:09:25,28.95,44.52,1007.87,17.89,69,1013,4.12,,803,75,0,37.29,-121.95,2022-06-09--09-09-25_1.raw,0,0,8,1,0.375,1
1,5,2022-06-09 10:08:51,31.93,38.1,1008.18,20.36,61,1013,3.6,,803,75,0,37.29,-121.95,2022-06-09--10-08-51_1.raw,0,0,8,1,0.417,1
1,5,2022-06-09 11:08:21,34.53,31.81,1007.45,23.74,52,1013,0.89,2.24,803,75,0,37.29,-121.95,2022-06-09--11-08-21_1.raw,0,0,8,1,0.458,1
1,5,2022-06-09 12:07:53,38.69,25.04,1007.12,27.06,40,1012,3.09,,803,75,0,37.29,-121.95,2022-06-09--12-07-53_1.raw,0,0,8,1,0.5,1
1,5,2022-06-09 13:07:21,40.32,20.04,1006.66,29.44,34,1012,5.14,,803,75,0,37.29,-121.95,2022-06-09--13-07-21_1.raw,0,0,8,1,0.542,1
1,5,2022-06-09 14:06:06,38.99,18.2,1006.45,30.09,34,1012,6.17,,802,40,0,37.29,-121.95,2022-06-09--14-06-06_1.raw,0,0,8,1,0.583,1
1,5,2022-06-09 15:05:10,36.55,23.44,1006.46,30.33,35,1012,6.69,,802,40,0,37.29,-121.95,2022-06-09--15-05-10_1.raw,0,0,8,1,0.625,1
1,5,2022-06-09 16:04:23,34.92,23.03,1005.91,31.11,31,1012,6.17,,802,40,0,37.29,-121.95,2022-06-09--16-04-23_1.raw,0,0,8,1,0.667,1
1,5,2022-06-09 17:03:35,33.61,23.65,1005.38,30.97,29,1011,7.72,,800,0,0,37.29,-121.95,2022-06-09--17-03-35_1.raw,0,0,8,1,0.708,1
1,5,2022-06-09 18:49:09,31.19,39.57,1005.43,27.96,33,1012,7.2,,802,40,0,37.29,-121.95,2022-06-09--18-49-09_1.raw,1,1,8,2,0.75,2
1,5,2022-06-09 19:48:22,30.73,29.67,1006.05,25.18,41,1012,6.69,,803,75,0,37.29,-121.95,2022-06-09--19-48-22_1.raw,1,1,8,2,0.792,2
1,5,2022-06-09 20:47:28,28.23,35.42,1006.78,22.52,44,1013,5.14,,803,75,0,37.29,-121.95,2022-06-09--20-47-28_1.raw,1,1,8,2,0.833,2
1,5,2022-06-09 21:46:36,26.26,40.48,1007.47,20.58,57,1013,4.12,,802,40,0,37.29,-121.95,2022-06-09--21-46-36_1.raw,1,1,8,2,0.875,2
1,5,2022-06-09 22:45:43,24.96,44.1,1007.81,19.82,61,1014,4.12,,801,20,0,37.29,-121.95,2022-06-09--22-45-43_1.raw,1,1,8,2,0.917,2
1,5,2022-06-09 23:44:54,23.84,47.34,1007.7,19.07,65,1014,3.6,,800,0,0,37.29,-121.95,2022-06-09--23-44-54_1.raw,1,1,8,2,0.958,2
1,5,2022-06-10 0:44:04,22.79,49.53,1007.34,18.21,67,1013,1.54,,800,0,0,37.29,-121.95,2022-06-10--00-44-04_1.raw,1,1,8,2,0,2
1,5,2022-06-10 1:43:17,22.27,50.36,1006.88,17.56,69,1013,1.54,,800,0,0,37.29,-121.95,2022-06-10--01-43-17_1.raw,1,1,8,2,0.042,2
1,5,2022-06-10 2:42:31,21.91,51.37,1006.81,16.96,72,1012,0.45,1.34,800,0,0,37.29,-121.95,2022-06-10--02-42-31_1.raw,1,1,8,2,0.083,2
1,5,2022-06-10 3:41:45,21.53,51.6,1006.44,16.5,73,1012,0,,800,0,0,37.29,-121.95,2022-06-10--03-41-45_1.raw,1,1,8,2,0.125,2
1,5,2022-06-10 4:40:57,21.19,52.7,1006.72,15.95,75,1012,0,,800,0,0,37.29,-121.95,2022-06-10--04-40-57_1.raw,1,1,8,2,0.167,2
1,5,2022-06-10 5:40:10,21.29,51.23,1007.11,15.9,75,1013,0,,800,0,0,37.29,-121.95,2022-06-10--05-40-10_1.raw,1,1,8,2,0.208,2
1,5,2022-06-10 6:39:26,21.95,51.43,1007.62,17.42,70,1013,0,,801,20,0,37.29,-121.95,2022-06-10--06-39-26_1.raw,1,1,8,2,0.25,2
1,5,2022-06-10 7:39:02,25.48,53.33,1008.18,21.1,62,1014,1.54,,711,20,0,37.29,-121.95,2022-06-10--07-39-02_1.raw,1,1,8,2,0.292,2
1,5,2022-06-10 8:38:24,30.27,40.96,1008.6,24.18,53,1014,0.45,0.89,801,20,0,37.29,-121.95,2022-06-10--08-38-24_1.raw,1,1,8,2,0.333,2
1,5,2022-06-10 9:37:53,34.7,33.04,1008.74,26.81,48,1014,0.89,2.24,801,20,0,37.29,-121.95,2022-06-10--09-37-53_1.raw,1,1,8,2,0.375,2
1,5,2022-06-10 10:37:28,38.47,26.42,1008.25,29.85,41,1014,2.57,,801,20,0,37.29,-121.95,2022-06-10--10-37-28_1.raw,1,1,8,2,0.417,2
1,5,2022-06-10 11:36:55,41.07,22.68,1007.71,31.9,33,1013,3.09,,801,20,0,37.29,-121.95,2022-06-10--11-36-55_1.raw,1,1,8,2,0.458,2
1,5,2022-06-10 12:36:08,42.57,21.37,1007.4,33.32,32,1013,5.14,,801,20,0,37.29,-121.95,2022-06-10--12-36-08_1.raw,1,1,8,2,0.5,2
