queen presence,apparent hive temp,apparent temp diff,CCD
1,41.07,9.86,1
1,37.78,7.470000000000002,0
0,32.95,4.470000000000002,1
0,33.85,7.260000000000002,0
0,33.28,8.630000000000003,1
0,31.94,10.040000000000003,1
0,27.5,8.18,1
0,25.96,7.75,1
0,24.76,7.350000000000001,0
0,24.38,7.800000000000001,1
0,23.81,8.44,0
0,23.67,8.450000000000001,0
0,23.4,8.919999999999998,1
0,22.69,8.820000000000002,1
0,22.42,8.950000000000001,1
0,24.12,10.97,1
0,27.57,12.65,0
0,29.45,11.629999999999999,0
0,33.25,13.07,0
0,36.37,13.479999999999997,0
0,38.63,11.970000000000002,1
0,42.67,13.23,1
0,43.09,11.460000000000004,0
0,40.48,7.909999999999997,0
0,38.95,5.790000000000006,1
0,36.51,3.1899999999999977,0
0,34.88,2.260000000000005,1
1,35.59,6.290000000000003,0
1,32.45,5.550000000000004,0
1,30.2,6.579999999999998,0
1,28.37,5.68,1
1,27.13,5.039999999999999,0
1,26.04,4.57,1
1,24.85,4.420000000000002,0
1,24.22,4.529999999999998,0
1,23.85,4.720000000000002,0
1,23.33,4.779999999999998,0
1,22.99,5.049999999999997,1
1,22.93,5.07,0
1,23.91,4.32,0
1,29.56,5.41,1
1,34.5,7.010000000000002,0
1,39.27,8.630000000000003,0
1,42.86,9.009999999999998,0
1,45.32,10.329999999999998,1
1,47.01,10.159999999999997,0
1,45.98,7.849999999999994,0
1,43.33,6.119999999999997,0
1,42.93,5.119999999999997,0
1,41.79,3.8599999999999994,0
1,36.18,3.6899999999999977,0
1,33.43,3.1400000000000006,0
1,31.95,4.509999999999998,0
1,30.35,4.900000000000002,0
1,28.89,4.57,0
1,27.91,3.59,0
1,26.81,3.75,0
1,25.69,3.370000000000001,0
1,24.57,3.41,0
1,23.56,3.5700000000000003,1
1,22.64,3.210000000000001,0
1,21.78,3.0700000000000003,0
1,21.98,2.969999999999999,0
1,26.91,3.1999999999999993,1
1,33.3,5.699999999999996,0
1,37.52,7.650000000000002,0
1,40.11,8.68,0
1,42.67,10.450000000000003,0
1,42.61,9.240000000000002,0
1,43.98,8.699999999999996,1
1,42.53,5.950000000000003,0
1,41.14,4.520000000000003,0
1,27.23,5.960000000000001,0
1,26.85,7.470000000000002,0
1,24.86,8.09,1
1,22.93,6.48,0
1,21.69,6.070000000000002,0
1,21.27,6.43,0
1,21.16,7.109999999999999,0
1,20.54,7.18,0
1,20.51,7.850000000000001,1
1,20.91,8.73,0
1,20.69,8.760000000000002,0
1,21.77,10.03,0
1,23.34,8.85,1
1,27.45,8.59,0
1,33.27,12.050000000000004,0
1,37.12,13.309999999999999,1
1,39.82,14.29,0
1,41.66,13.999999999999996,0
1,41.81,13.21,1
1,39.56,10.750000000000004,0
1,36.83,7.579999999999998,0
1,33.95,4.760000000000002,0
1,33.01,4.629999999999999,0
1,32.67,4.57,0
1,34.43,4.48,0
1,32.03,3.490000000000002,0
1,29.92,3.2600000000000016,0
1,28.48,3.9499999999999993,0
1,27.17,4.280000000000001,0
1,25.61,3.4899999999999984,0
1,24.8,2.91,0
1,23.62,2.7699999999999996,0
1,23.14,3.0199999999999996,0
1,21.32,2.84,0
1,20.59,3.25,0
1,20.74,3.8199999999999967,0
1,20.09,4.24,0
1,19.57,4.33,0
1,22.62,6.09,0
1,27.55,9.060000000000002,0
1,31.18,10.89,0
1,33.75,11.510000000000002,0
1,35.56,11.310000000000002,0
1,37.12,11.329999999999998,0
1,35.73,8.449999999999996,0
1,32.52,4.300000000000004,0
1,30.62,2.2900000000000027,0
1,29.62,2.1799999999999997,1
1,28.16,2.1799999999999997,0
1,27.88,2.41,0
1,25.55,1.6700000000000017,1
1,23.45,2.34,0
1,22.55,3.9700000000000024,1
1,22.18,5.07,0
1,20.8,4.8100000000000005,0
1,20.18,5.35,0
1,19.1,4.910000000000002,0
1,18.29,4.709999999999999,0
1,17.69,4.98,0
1,17.08,5.229999999999999,1
1,17.85,6.670000000000002,0
1,18.62,7.550000000000001,1
1,20.78,7.5600000000000005,1
1,24.8,7.370000000000001,0
1,30.01,9.55,1
1,35.3,12.169999999999998,0
1,37.47,11.75,0
1,38.1,10.130000000000003,0
1,36.93,7.280000000000001,0
1,34.61,4.789999999999999,0
1,32.54,2.710000000000001,0
1,29.9,1.7899999999999991,0
1,28.55,1.8399999999999999,1
1,26.89,2.3500000000000014,0
1,24.61,2.879999999999999,0
1,22.48,3.1799999999999997,1
1,21.34,4.530000000000001,0
1,19.82,4.290000000000001,0
1,18.49,3.789999999999999,0
1,18.81,4.859999999999999,0
1,18.66,5.07,0
1,18.04,4.709999999999999,0
1,17.61,4.43,0
1,18.1,4.950000000000001,0
1,17.71,4.970000000000001,0
1,17.75,5.08,1
1,18.39,4.49,0
1,23.88,6.399999999999999,1
1,30.15,10.32,0
1,33.14,10.870000000000001,0
0,36.36,5.419999999999998,0
0,37.53,7.220000000000002,0
0,33.37,4.889999999999997,0
0,29.9,3.3099999999999987,1
0,27.55,2.900000000000002,1
0,25.59,3.75,0
0,22.07,2.75,1
0,20.35,2.1400000000000006,0
0,19.47,2.1499999999999986,1
0,18.61,2.030000000000001,1
0,20.24,4.869999999999999,1
0,17.46,2.24,1
0,16.98,2.5,1
0,16.26,2.3900000000000023,1
0,15.81,2.3499999999999996,1
0,16.97,3.8199999999999985,1
0,23.26,8.340000000000002,1
0,35.2,17.380000000000003,1
0,44.4,24.22,1
0,46.62,23.729999999999997,1
0,56.25,29.59,0
0,56.9,27.389999999999997,1
0,53.52,21.890000000000004,1
0,43.17,10.600000000000001,1
0,36.06,2.9000000000000057,1
0,34.26,0.9399999999999977,0
0,33.09,0.2700000000000031,0
1,37.17,7.870000000000001,0
1,29.0,2.1000000000000014,0
1,26.4,2.7799999999999976,0
